"","Country","Gender","Age","EmploymentStatus","EmployerIndustry","FormalEducation","Major","CompensationAmount","CompensationCurrency","CurrentJobTitle","TitleFit","LanguageRecommendation","DataScienceIdentity","WorkDataVisualizations","JobSatisfaction","JobSatisfaction2"
"664","Germany","Male",30,"Employed full-time","Mix of fields","Doctoral degree","Physics",85000,"EUR","Machine Learning Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","7",7
"665","United Kingdom","Male",25,"Employed full-time","Non-profit","Bachelor's degree","Mathematics or statistics",32650,"GBP","Data Analyst","Fine","R","Yes","76-99% of projects","6",6
"666","Taiwan","Male",33,"Employed full-time","Other","Master's degree","Computer Science",65000,"USD","Machine Learning Engineer","Fine","Python","No","51-75% of projects","9",9
"667","Netherlands","Male",30,"Employed full-time","Other","Bachelor's degree","Mathematics or statistics",36000,"EUR","Predictive Modeler","Fine","R","Yes","100% of projects","7",7
"668","India","Male",22,"Employed full-time","Technology","Bachelor's degree","Computer Science",360000,"INR","Software Developer/Software Engineer","Poorly","Python","No","100% of projects","1 - Highly Dissatisfied",1
"669","Switzerland","Male",28,"Employed part-time","Other","Master's degree","Mathematics or statistics",60000,"CHF","Statistician","Perfectly","R","Yes","100% of projects","6",6
"670","Taiwan","Male",32,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Other",60000,"USD","Data Analyst","Perfectly","C/C++/C#","Yes","26-50% of projects","5",5
"671","India","Male",25,"Employed full-time","Academic","Bachelor's degree","Electrical Engineering",148800,"INR","Other","Perfectly","Python","No","Less than 10% of projects","5",5
"672","Russia","Male",21,"Employed full-time","Financial","Bachelor's degree","Computer Science",1400000,"RUB","Machine Learning Engineer","Fine","Python","Yes","26-50% of projects","9",9
"673","United States","Male",32,"Employed full-time","CRM/Marketing","Master's degree","A social science",65000,"USD","Data Analyst","Poorly","R","Yes","100% of projects","3",3
"674","Brazil","Male",37,"Employed full-time","Academic","Doctoral degree","Computer Science",140000,"BRL","Scientist/Researcher","Perfectly","Python","Yes","51-75% of projects","8",8
"675","Other","Male",45,"Employed full-time","Financial","Master's degree","Mathematics or statistics",240000,"TTD","Software Developer/Software Engineer","Fine","R","Yes","51-75% of projects","8",8
"676","Other","Female",24,"Employed full-time","Academic","Master's degree","Mathematics or statistics",36000,"EUR","Scientist/Researcher","Perfectly","Python","Sort of (Explain more)","100% of projects","9",9
"677","Germany","Male",30,"Employed part-time","Insurance","Master's degree","Computer Science",10000,"EUR","Software Developer/Software Engineer","Fine","Haskell","Yes","10-25% of projects","10 - Highly Satisfied",10
"678","Other","Male",25,"Employed full-time","Other","Bachelor's degree","Computer Science",47000,"ISK","Researcher","Fine","Python","No","10-25% of projects","6",6
"679","India","Female",35,"Employed full-time","Academic","Master's degree","Computer Science",5e+05,"INR","Scientist/Researcher","Fine","Python","No","10-25% of projects","6",6
"680","Russia","Male",20,"Independent contractor, freelancer, or self-employed","Military/Security","Bachelor's degree","Information technology, networking, or system administration",3113,"USD","Business Analyst","Fine","Python","Yes","Less than 10% of projects","6",6
"681","India","Male",23,"Employed full-time","Internet-based","Master's degree","Electrical Engineering",480000,"INR","Machine Learning Engineer","Poorly","Python","Yes","26-50% of projects","8",8
"682","Sweden","Male",31,"Employed full-time","Financial","Master's degree","Computer Science",426000,"SEK","Software Developer/Software Engineer","Fine","Python","No","26-50% of projects","7",7
"683","United States","Male",35,"Employed full-time","Mix of fields","Master's degree","Computer Science",147000,"USD","Other","Poorly","R","Sort of (Explain more)","51-75% of projects","3",3
"684","India","Male",35,"Employed full-time","CRM/Marketing","Bachelor's degree","Electrical Engineering",2e+06,"INR","DBA/Database Engineer","Fine","Scala","Sort of (Explain more)","100% of projects","1 - Highly Dissatisfied",1
"685","United States","Male",28,"Employed full-time","Academic","Master's degree","Fine arts or performing arts",41000,"USD","Researcher","Poorly","Python","Yes","26-50% of projects","9",9
"686","Russia","Male",23,"Employed full-time","Financial","Bachelor's degree","Computer Science",1020000,"RUB","Software Developer/Software Engineer","Poorly","Python","Yes","76-99% of projects","7",7
"687","United States","Male",41,"Employed full-time","Military/Security","Doctoral degree","Engineering (non-computer focused)",150000,"USD","Scientist/Researcher","Poorly","R","No","100% of projects","6",6
"688","India","Male",23,"Employed full-time","Financial","Bachelor's degree","Engineering (non-computer focused)",4e+05,"INR","Data Analyst","Fine","Python","Sort of (Explain more)","26-50% of projects","7",7
"689","Germany","Female",27,"Employed full-time","Internet-based","Master's degree","Mathematics or statistics",40000,"EUR","DBA/Database Engineer","Fine","R","No","10-25% of projects","7",7
"690","Germany","Male",29,"Employed full-time","Pharmaceutical","Master's degree","Computer Science",70000,"EUR","Machine Learning Engineer","Fine","Python","Yes","Less than 10% of projects","7",7
"691","Russia","Male",31,"Employed full-time","Financial","Master's degree","Computer Science",1680000,"RUB","Data Analyst","Fine","Python","Sort of (Explain more)","51-75% of projects","7",7
"692","France","Male",29,"Employed full-time","Academic","Master's degree","Engineering (non-computer focused)",20000,"EUR","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","7",7
"693","United States","Male",45,"Employed full-time","Military/Security","Bachelor's degree","Information technology, networking, or system administration",85000,"USD","Other","Fine","Java","Yes","51-75% of projects","6",6
"694","Kenya","Male",28,"Employed full-time","Mix of fields","Bachelor's degree","Information technology, networking, or system administration",75000,"KES","Data Analyst","Fine","R","No","76-99% of projects","6",6
"695","Spain","Male",46,"Employed full-time","Hospitality/Entertainment/Sports","Doctoral degree","Electrical Engineering",50000,"EUR","Scientist/Researcher","Fine","R","Yes","76-99% of projects","8",8
"696","Australia","Male",38,"Employed full-time","Mix of fields","Doctoral degree","Computer Science",165000,"AUD","Software Developer/Software Engineer","Fine","SQL","Yes","26-50% of projects","7",7
"697","United Kingdom","Male",38,"Employed full-time","Mix of fields","Bachelor's degree","Computer Science",80000,"GBP","Business Analyst","Fine","Python","Yes","26-50% of projects","7",7
"698","United States","Female",31,"Independent contractor, freelancer, or self-employed","Academic","Master's degree","Mathematics or statistics",114000,"USD","Statistician","Fine","Stata","Yes","76-99% of projects","10 - Highly Satisfied",10
"699","India","Male",50,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","Engineering (non-computer focused)",2e+05,"USD","Predictive Modeler","Poorly","R","Sort of (Explain more)","10-25% of projects","8",8
"700","People 's Republic of China","Male",27,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","Computer Science",160000,"CNY","Machine Learning Engineer","Fine","Python","No","10-25% of projects","7",7
"701","Germany","Male",66,"Independent contractor, freelancer, or self-employed","Technology","Master's degree","Engineering (non-computer focused)",80000,"EUR","Engineer","Fine","C/C++/C#","No","10-25% of projects","8",8
"702","United States","Male",66,"Employed full-time","Financial","Bachelor's degree","Electrical Engineering",145000,"USD","DBA/Database Engineer","Perfectly","Python","No","100% of projects","2",2
"703","Finland","Male",31,"Employed part-time","Academic","Master's degree","Electrical Engineering",24000,"EUR","Researcher","Fine","Matlab","Sort of (Explain more)","26-50% of projects","7",7
"704","United States","Male",29,"Independent contractor, freelancer, or self-employed","Other","Bachelor's degree","Computer Science",1e+05,"USD","Software Developer/Software Engineer","Fine","Python","No","10-25% of projects","6",6
"705","Ireland","Male",42,"Independent contractor, freelancer, or self-employed","Government","Some college/university study without earning a bachelor's degree","Computer Science",132000,"EUR","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","100% of projects","8",8
"706","Finland","Female",26,"Employed full-time","Academic","Master's degree","Electrical Engineering",40000,"EUR","Scientist/Researcher","Fine","Matlab","Yes","76-99% of projects","9",9
"707","Japan","Male",35,"Employed full-time","Manufacturing","Master's degree","Computer Science",6e+06,"JPY","Engineer","Poorly","Python","No","26-50% of projects","4",4
"708","South Africa","Male",31,"Employed full-time","Financial","Bachelor's degree","Electrical Engineering",1e+06,"ZAR","Predictive Modeler","Fine","Python","Yes","76-99% of projects","7",7
"709","United States","Male",49,"Employed full-time","Other","Doctoral degree","Physics",160000,"USD","Scientist/Researcher","Fine","Python","No","76-99% of projects","2",2
"710","Germany","Male",35,"Employed full-time","Technology","Doctoral degree","Mathematics or statistics",76000,"EUR","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","8",8
"711","India","Male",26,"Employed full-time","Technology","Master's degree","Computer Science",2500000,"INR","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","5",5
"712","India","Male",28,"Employed full-time","Technology","Bachelor's degree","Computer Science",1600000,"INR","Software Developer/Software Engineer","Perfectly","R","Sort of (Explain more)","26-50% of projects","8",8
"713","Spain","Female",29,"Independent contractor, freelancer, or self-employed","Academic","Master's degree","Computer Science",12000,"EUR","Scientist/Researcher","Fine","R","Yes","100% of projects","9",9
"714","Australia","Male",35,"Employed full-time","Financial","Master's degree","Computer Science",131500,"AUD","Data Analyst","Fine","SQL","Yes","76-99% of projects","6",6
"715","Other","Male",47,"Employed full-time","Financial","Master's degree","Mathematics or statistics",110000,"EUR","Predictive Modeler","Fine","Python","Yes","Less than 10% of projects","10 - Highly Satisfied",10
"716","United States","Male",32,"Employed full-time","Pharmaceutical","Doctoral degree","Biology",81500,"USD","Scientist/Researcher","Fine","Python","Yes","76-99% of projects","7",7
"717","Russia","Male",27,"Employed full-time","Technology","Master's degree","Information technology, networking, or system administration",25000,"USD","Other","Perfectly","Python","No","26-50% of projects","8",8
"718","United Kingdom","Male",40,"Employed full-time","Academic","Master's degree","Fine arts or performing arts",15000,"GBP","Researcher","Perfectly","Python","Yes","51-75% of projects","8",8
"719","United Kingdom","Male",38,"Employed full-time","Mix of fields","Bachelor's degree","Mathematics or statistics",58600,"GBP","Data Analyst","Fine","R","Sort of (Explain more)","100% of projects","7",7
"720","Other","Male",26,"Employed full-time","Mix of fields","Bachelor's degree","Computer Science",6600,"BHD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","10-25% of projects","8",8
"721","Russia","Male",31,"Employed full-time","Mix of fields","Bachelor's degree","Mathematics or statistics",3458000,"RUB","Predictive Modeler","Poorly","Python","Yes","Less than 10% of projects","7",7
"722","Netherlands","Male",33,"Employed full-time","Retail","Some college/university study without earning a bachelor's degree","Computer Science",42000,"EUR","DBA/Database Engineer","Fine","Python","No","None","3",3
"723","United States","Male",22,"Employed full-time","Other","Bachelor's degree","Other",78000,"USD","DBA/Database Engineer","Fine","Python","Yes","None","7",7
"724","Denmark","Female",28,"Employed part-time","Technology","Master's degree","Computer Science",1e+05,"DKK","Other","Fine","Python","Yes","100% of projects","10 - Highly Satisfied",10
"725","Russia","Male",32,"Independent contractor, freelancer, or self-employed","Financial","Master's degree","A social science",4500000,"RUB","Business Analyst","Fine","SQL","Yes","76-99% of projects","8",8
"726","Japan","Male",28,"Employed full-time","Manufacturing","Doctoral degree","Electrical Engineering",5e+06,"JPY","Researcher","Fine","Python","Yes","10-25% of projects","7",7
"727","Spain","Male",57,"Employed full-time","Academic","Doctoral degree","Computer Science",80000,"EUR","Computer Scientist","Fine","Python","Yes","100% of projects","10 - Highly Satisfied",10
"728","Australia","Male",59,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",85000,"AUD","Data Analyst","Poorly","Java","Sort of (Explain more)","51-75% of projects","1 - Highly Dissatisfied",1
"729","Sweden","Male",34,"Employed full-time","Academic","Doctoral degree","A social science",420000,"SEK","Scientist/Researcher","Perfectly","R","Yes","100% of projects","6",6
"730","United States","Male",30,"Employed full-time","Internet-based","Bachelor's degree","Mathematics or statistics",195000,"USD","Engineer","Fine","SQL","Yes","26-50% of projects","10 - Highly Satisfied",10
"731","Russia","Male",33,"Employed full-time","Technology","Master's degree","Physics",2e+06,"RUB","Scientist/Researcher","Fine","R","Yes","10-25% of projects","2",2
"732","United States","Male",31,"Employed full-time","Technology","Master's degree","Electrical Engineering",1e+05,"USD","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","8",8
"733","People 's Republic of China","Male",30,"Employed full-time","Technology","Master's degree","Information technology, networking, or system administration",7e+05,"CNY","Machine Learning Engineer","Perfectly","C/C++/C#","Yes","Less than 10% of projects","7",7
"734","Brazil","Male",41,"Employed full-time","Financial","Bachelor's degree","Computer Science",150000,"BRL","Other","Perfectly","R","Sort of (Explain more)","10-25% of projects","9",9
"735","Other","Male",29,"Employed full-time","Academic","Master's degree","Computer Science",13000,"EUR","Researcher","Fine","Python","Yes","26-50% of projects","6",6
"736","United States","Male",42,"Employed full-time","Military/Security","Master's degree","Engineering (non-computer focused)",175000,"USD","Machine Learning Engineer","Fine","Python","Yes","Less than 10% of projects","8",8
"737","Brazil","Male",28,"Employed full-time","Internet-based","Bachelor's degree","Computer Science",140000,"BRL","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","7",7
"738","Hungary","Female",26,"Employed full-time","Academic","Doctoral degree","Physics",2500000,"HUF","Scientist/Researcher","Fine","Python","No","100% of projects","6",6
"739","Brazil","Male",29,"Employed full-time","Academic","Bachelor's degree","Electrical Engineering",45000,"BRL","Engineer","Fine","Python","Sort of (Explain more)","76-99% of projects","6",6
"740","Russia","Male",33,"Independent contractor, freelancer, or self-employed","Internet-based","Bachelor's degree","Physics",53000,"USD","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","26-50% of projects","7",7
"741","Ukraine","Male",22,"Employed part-time","Technology","Bachelor's degree","Information technology, networking, or system administration",6000,"USD","Machine Learning Engineer","Perfectly","Python","Yes","100% of projects","10 - Highly Satisfied",10
"742","India","Male",22,"Independent contractor, freelancer, or self-employed","Internet-based","Bachelor's degree","Electrical Engineering",160000,"CAD","Software Developer/Software Engineer","Fine","Python","No","51-75% of projects","8",8
"743","India","Male",42,"Employed full-time","Government","Master's degree","Computer Science",90000,"RSD","Other","Fine","Python","Yes","10-25% of projects","9",9
"744","United States","Male",54,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",108000,"USD","Other","Poorly","Scala","Yes","51-75% of projects","8",8
"745","Portugal","Male",23,"Employed full-time","Academic","Master's degree","Electrical Engineering",12000,"EUR","Researcher","Fine","Python","Yes","76-99% of projects","9",9
"746","Brazil","Male",52,"Employed full-time","Government","Bachelor's degree","Computer Science",320000,"BRL","Programmer","Fine","Python","No","Less than 10% of projects","10 - Highly Satisfied",10
"747","India","Male",29,"Employed full-time","Telecommunications","Bachelor's degree","Computer Science",7e+05,"INR","Data Analyst","Perfectly","R","Sort of (Explain more)","100% of projects","2",2
"748","United States","Male",33,"Employed full-time","Pharmaceutical","Doctoral degree","Other",60000,"USD","Other","Poorly","R","Sort of (Explain more)","Less than 10% of projects","1 - Highly Dissatisfied",1
"749","United States","Male",31,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","Engineering (non-computer focused)",136500,"USD","Business Analyst","Poorly","SQL","Sort of (Explain more)","76-99% of projects","2",2
"750","Ukraine","Male",26,"Employed full-time","Non-profit","Master's degree","A social science",25000,"USD","Researcher","Fine","R","Yes","76-99% of projects","4",4
"751","Russia","Female",26,"Employed full-time","Technology","Doctoral degree","Other",110000,"RUB","Scientist/Researcher","Perfectly","Python","Yes","76-99% of projects","9",9
"752","Other","Male",33,"Employed full-time","Academic","Doctoral degree","Computer Science",36000,"EUR","Scientist/Researcher","Fine","R","Sort of (Explain more)","76-99% of projects","7",7
"753","Russia","Male",26,"Employed full-time","Internet-based","Some college/university study without earning a bachelor's degree","Computer Science",1620000,"RUB","Machine Learning Engineer","Perfectly","Python","Yes","10-25% of projects","10 - Highly Satisfied",10
"754","United States","Male",32,"Employed full-time","Other","Doctoral degree","Electrical Engineering",135000,"USD","Machine Learning Engineer","Poorly","Python","Sort of (Explain more)","51-75% of projects","7",7
"755","United States","Male",38,"Employed full-time","Technology","Master's degree","Mathematics or statistics",2e+05,"USD","Other","Perfectly","Python","No","76-99% of projects","10 - Highly Satisfied",10
"756","India","Male",27,"Employed full-time","Government","Master's degree","Mathematics or statistics",240000,"INR","Statistician","Perfectly","R","Sort of (Explain more)","51-75% of projects","7",7
"757","Brazil","Male",31,"Employed full-time","Telecommunications","Bachelor's degree","Computer Science",120000,"BRL","Software Developer/Software Engineer","Perfectly","Python","No","10-25% of projects","3",3
"758","United States","Male",24,"Employed full-time","Government","Bachelor's degree","Engineering (non-computer focused)",62000,"USD","Engineer","Fine","R","Yes","76-99% of projects","7",7
"759","United States","Male",31,"Employed full-time","Manufacturing","I prefer not to answer","Mathematics or statistics",60000,"USD","Data Analyst","Fine","R","Sort of (Explain more)","76-99% of projects","8",8
"760","Brazil","Male",30,"Employed full-time","Non-profit","Bachelor's degree","I never declared a major",1e+05,"BRL","Software Developer/Software Engineer","Fine","Python","Yes","100% of projects","10 - Highly Satisfied",10
"761","Canada","Male",35,"Employed full-time","Government","Master's degree","Physics",1e+05,"CAD","Scientist/Researcher","Fine","Python","Sort of (Explain more)","100% of projects","9",9
"762","Brazil","Male",26,"Employed full-time","Government","Bachelor's degree","Other",6700,"BRL","Other","Perfectly","Python","No","100% of projects","3",3
"763","Mexico","Male",26,"Employed full-time","Technology","Some college/university study without earning a bachelor's degree","Computer Science",18000,"MXN","Computer Scientist","Fine","Scala","Yes","51-75% of projects","10 - Highly Satisfied",10
"764","Spain","Male",24,"Employed full-time","Financial","Bachelor's degree","Computer Science",20000,"EUR","Data Analyst","Perfectly","Python","Yes","76-99% of projects","6",6
"765","Poland","Male",42,"Employed full-time","Pharmaceutical","Master's degree","Physics",80000,"PLN","Data Analyst","Fine","R","Yes","26-50% of projects","6",6
"766","India","Male",26,"Employed full-time","Internet-based","Master's degree","Engineering (non-computer focused)",450000,"INR","Business Analyst","Poorly","Python","Sort of (Explain more)","10-25% of projects","6",6
"767","Poland","Male",25,"Employed full-time","Financial","Master's degree","Mathematics or statistics",3650,"PLN","Data Analyst","Fine","R","No","51-75% of projects","7",7
"768","Brazil","Female",34,"Employed full-time","Technology","Master's degree","Information technology, networking, or system administration",4500,"BRL","Programmer","Fine","Python","Yes","Less than 10% of projects","7",7
"769","United States","Male",42,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",140000,"USD","Statistician","Fine","R","Yes","76-99% of projects","7",7
"770","Australia","Male",39,"Employed full-time","Financial","Bachelor's degree","Computer Science",2e+05,"AUD","Other","Fine","Python","No","51-75% of projects","4",4
"771","United States","Male",56,"Employed full-time","Technology","Master's degree","Mathematics or statistics",3e+05,"USD","Statistician","Fine","Python","Yes","100% of projects","8",8
"772","Netherlands","A different identity",49,"Employed full-time","Other","Master's degree","Computer Science",80000,"EUR","Business Analyst","Poorly","Python","Sort of (Explain more)","100% of projects","10 - Highly Satisfied",10
"773","United States","Male",33,"Employed full-time","Mix of fields","Bachelor's degree","Psychology",121000,"USD","Data Analyst","Poorly","SQL","No","76-99% of projects","7",7
"774","India","Male",35,"Employed full-time","Technology","Master's degree","Computer Science",9e+05,"INR","Business Analyst","Fine","R","Sort of (Explain more)","10-25% of projects","7",7
"775","United States","Female",27,"Employed full-time","Manufacturing","Master's degree","Mathematics or statistics",71000,"USD","Data Analyst","Fine","R","Yes","100% of projects","10 - Highly Satisfied",10
"776","United States","Male",31,"Employed full-time","Government","Doctoral degree","Electrical Engineering",106000,"USD","Scientist/Researcher","Fine","Python","Sort of (Explain more)","26-50% of projects","8",8
"777","United States","Female",31,"Employed full-time","Non-profit","Master's degree","A health science",74000,"USD","Data Analyst","Perfectly","R","No","100% of projects","7",7
"778","India","Male",22,"Employed full-time","CRM/Marketing","Bachelor's degree","Engineering (non-computer focused)",475000,"INR","Machine Learning Engineer","Fine","Python","No","Less than 10% of projects","10 - Highly Satisfied",10
"779","Brazil","Male",34,"Employed full-time","Telecommunications","Master's degree","Computer Science",1e+05,"BRL","Software Developer/Software Engineer","Fine","Python","Sort of (Explain more)","Less than 10% of projects","7",7
"780","United States","Female",26,"Employed full-time","Academic","Master's degree","Mathematics or statistics",55000,"USD","Statistician","Perfectly","R","No","76-99% of projects","7",7
"781","Spain","Male",38,"Employed full-time","Technology","Bachelor's degree","Computer Science",33000,"EUR","Software Developer/Software Engineer","Fine","Python","No","76-99% of projects","8",8
"782","Poland","Male",50,"Employed full-time","Academic","Doctoral degree","Computer Science",90000,"PLN","Scientist/Researcher","Poorly","R","Yes","10-25% of projects","8",8
"783","United States","Male",24,"Employed full-time","Internet-based","Master's degree","Computer Science",130000,"USD","Machine Learning Engineer","Fine","Python","Yes","10-25% of projects","6",6
"784","Brazil","Male",35,"Employed full-time","Academic","Doctoral degree","Computer Science",48000,"USD","Scientist/Researcher","Perfectly","R","Yes","100% of projects","5",5
"785","Brazil","Male",40,"Employed full-time","Insurance","Bachelor's degree","Information technology, networking, or system administration",150,"BRL","Other","Fine","Scala","No","76-99% of projects","8",8
"786","United States","Male",30,"Employed full-time","Mix of fields","Bachelor's degree","Mathematics or statistics",220000,"USD","Other","Perfectly","SQL","Sort of (Explain more)","100% of projects","10 - Highly Satisfied",10
"787","United Kingdom","Female",27,"Employed full-time","Pharmaceutical","Master's degree","Physics",29000,"GBP","Statistician","Poorly","Python","Sort of (Explain more)","10-25% of projects","7",7
"788","People 's Republic of China","Female",24,"Employed full-time","Academic","Bachelor's degree","Mathematics or statistics",90000,"CNY","Other","Fine","Python","Sort of (Explain more)","76-99% of projects","6",6
"789","Belgium","Male",24,"Employed full-time","Academic","Master's degree","Computer Science",25000,"EUR","Researcher","Poorly","Python","Yes","100% of projects","4",4
"790","United States","Male",35,"Employed full-time","Government","Master's degree","Psychology",75000,"USD","Statistician","Poorly","R","Yes","51-75% of projects","8",8
"791","Ireland","Male",34,"Employed full-time","Internet-based","Master's degree","A humanities discipline",51500,"EUR","Business Analyst","Fine","Python","Sort of (Explain more)","76-99% of projects","8",8
"792","United States","Male",23,"Employed full-time","Other","Bachelor's degree","Computer Science",130000,"USD","Other","Fine","Python","Sort of (Explain more)","26-50% of projects","10 - Highly Satisfied",10
"793","Singapore","Male",29,"Employed full-time","Internet-based","Bachelor's degree","Management information systems",75000,"SGD","Data Analyst","Fine","Python","No","51-75% of projects","10 - Highly Satisfied",10
"794","United States","Male",55,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","A social science",150000,"USD","Software Developer/Software Engineer","Poorly","Python","Yes","Less than 10% of projects","7",7
"795","Canada","Male",31,"Employed full-time","Technology","Doctoral degree","Computer Science",75000,"CAD","Machine Learning Engineer","Fine","Python","Yes","None","9",9
"796","Germany","Male",41,"Employed full-time","Technology","Doctoral degree","Physics",85000,"EUR","Machine Learning Engineer","Fine","Python","Yes","100% of projects","8",8
"797","United States","Male",33,"Employed full-time","Retail","Master's degree","A humanities discipline",108000,"USD","Data Miner","Poorly","R","Sort of (Explain more)","76-99% of projects","5",5
"798","United States","Female",26,"Employed full-time","Other","Bachelor's degree","Computer Science",65000,"USD","Software Developer/Software Engineer","Poorly","R","No","76-99% of projects","7",7
"799","United States","Female",30,"Employed full-time","Non-profit","Master's degree","A social science",78000,"USD","Researcher","Fine","Python","Sort of (Explain more)","10-25% of projects","7",7
"800","Russia","Male",23,"Employed full-time","Financial","Bachelor's degree","Computer Science",2289008,"RUB","Software Developer/Software Engineer","Poorly","Python","Sort of (Explain more)","None","7",7
"801","United States","Male",35,"Employed full-time","Other","Master's degree","Mathematics or statistics",72000,"USD","Statistician","Fine","R","Yes","10-25% of projects","7",7
"802","United Kingdom","Male",26,"Employed full-time","Financial","Master's degree","Physics",45000,"GBP","Other","Perfectly","Python","No","76-99% of projects","7",7
"803","United States","Male",29,"Employed full-time","Manufacturing","Bachelor's degree","A humanities discipline",55000,"USD","Data Analyst","Fine","Python","Sort of (Explain more)","76-99% of projects","5",5
"804","United States","Male",69,"Employed full-time","Academic","Doctoral degree","Physics",2e+05,"USD","Scientist/Researcher","Fine","Python","Yes","100% of projects","7",7
"805","Switzerland","Male",29,"Employed full-time","Academic","Master's degree","Physics",52000,"CHF","Scientist/Researcher","Perfectly","Python","Sort of (Explain more)","100% of projects","8",8
"806","Other","Male",45,"Employed full-time","Manufacturing","Some college/university study without earning a bachelor's degree","Computer Science",65000,"USD","Engineer","Fine","R","Sort of (Explain more)","76-99% of projects","7",7
"807","Germany","Male",50,"Employed full-time","Technology","Master's degree","Computer Science",80000,"EUR","Other","Fine","Python","No","76-99% of projects","4",4
"808","United States","Male",31,"Employed full-time","Government","Doctoral degree","A social science",90000,"USD","Scientist/Researcher","Fine","R","No","51-75% of projects","8",8
"809","Australia","Male",32,"Employed full-time","Technology","Doctoral degree","Biology",1e+05,"AUD","Software Developer/Software Engineer","Fine","Python","Yes","10-25% of projects","8",8
"810","Netherlands","Male",48,"Employed part-time","Academic","Doctoral degree","Electrical Engineering",55000,"EUR","Scientist/Researcher","Fine","R","Yes","Less than 10% of projects","8",8
"811","United States","Male",55,"Employed full-time","Academic","Doctoral degree","Mathematics or statistics",2e+05,"USD","Statistician","Fine","R","Yes","100% of projects","6",6
"812","Hong Kong","Male",38,"Independent contractor, freelancer, or self-employed","Technology","Bachelor's degree","Management information systems",9e+05,"HKD","Other","Perfectly","Python","Sort of (Explain more)","26-50% of projects","6",6
"813","United States","Female",35,"Employed full-time","Insurance","Bachelor's degree","Mathematics or statistics",58000,"USD","Data Analyst","Fine","R","Sort of (Explain more)","Less than 10% of projects","3",3
"814","Australia","Male",38,"Employed full-time","Government","Master's degree","Electrical Engineering",120000,"AUD","Data Analyst","Fine","Python","No","26-50% of projects","10 - Highly Satisfied",10
"815","Indonesia","Male",27,"Employed part-time","Telecommunications","Bachelor's degree","Electrical Engineering",2e+07,"IDR","Researcher","Fine","Python","No","76-99% of projects","9",9
"816","United States","Male",51,"Employed full-time","Non-profit","Bachelor's degree","Engineering (non-computer focused)",95000,"USD","Engineer","Fine","Python","Sort of (Explain more)","76-99% of projects","8",8
"817","Canada","Male",50,"Employed full-time","Technology","Bachelor's degree","Computer Science",75000,"CAD","Programmer","Fine","Python","No","26-50% of projects","8",8
"818","People 's Republic of China","Male",30,"Employed full-time","Hospitality/Entertainment/Sports","Master's degree","Computer Science",20,"CNY","Engineer","Fine","Python","Yes","Less than 10% of projects","2",2
"819","Other","Male",48,"Independent contractor, freelancer, or self-employed","Internet-based","Bachelor's degree","Mathematics or statistics",60000,"USD","Software Developer/Software Engineer","Fine","SQL","Yes","100% of projects","8",8
"820","United States","Male",32,"Employed full-time","CRM/Marketing","Bachelor's degree","Computer Science",90000,"USD","Software Developer/Software Engineer","Fine","R","Yes","51-75% of projects","10 - Highly Satisfied",10
"821","Chile","Male",29,"Employed full-time","Government","Master's degree","Engineering (non-computer focused)",3.6e+07,"CLP","Other","Fine","R","Yes","100% of projects","6",6
"822","Australia","Male",24,"Employed full-time","Government","Bachelor's degree","Mathematics or statistics",70000,"AUD","Statistician","Perfectly","R","Sort of (Explain more)","76-99% of projects","7",7
"823","United States","Male",29,"Employed full-time","Academic","Doctoral degree","Physics",80000,"USD","Scientist/Researcher","Perfectly","Python","Yes","100% of projects","9",9
"824","United Kingdom","Male",27,"Employed full-time","Other","Master's degree","Physics",25000,"GBP","Scientist/Researcher","Fine","Python","Yes","100% of projects","5",5
"825","United States","Male",28,"Employed full-time","Government","Master's degree","A social science",120000,"USD","Researcher","Poorly","Python","Sort of (Explain more)","51-75% of projects","4",4
"826","Canada","Male",22,"Independent contractor, freelancer, or self-employed","Insurance","Bachelor's degree","Mathematics or statistics",60000,"CAD","Researcher","Fine","R","Yes","76-99% of projects","8",8
"827","Brazil","Male",33,"Employed full-time","Academic","Doctoral degree","Engineering (non-computer focused)",117000,"BRL","Scientist/Researcher","Fine","R","Sort of (Explain more)","76-99% of projects","1 - Highly Dissatisfied",1
"828","United States","Female",33,"Employed full-time","Military/Security","Bachelor's degree","Fine arts or performing arts",40000,"USD","Programmer","Fine","Haskell","Sort of (Explain more)","26-50% of projects","1 - Highly Dissatisfied",1
