Country,Gender,Age,EmploymentStatus,EmployerIndustry,FormalEducation,Major,CompensationAmount,CompensationCurrency,CurrentJobTitle,TitleFit,LanguageRecommendation,DataScienceIdentity,WorkDataVisualizations,JobSatisfaction
New Zealand,Male,25,Employed full-time,Technology,Bachelor's degree,Engineering (non-computer focused),45000,NZD,Machine Learning Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,3
South Africa,Male,47,Employed full-time,Hospitality/Entertainment/Sports,Some college/university study without earning a bachelor's degree,Mathematics or statistics,650000,ZAR,Data Analyst,Fine,SQL,Sort of (Explain more),51-75% of projects,8
People 's Republic of China,Male,27,Employed full-time,Internet-based,Bachelor's degree,Computer Science,9999999,USD,Software Developer/Software Engineer,Fine,Python,Yes,Less than 10% of projects,7
Japan,Male,38,Employed full-time,Academic,Doctoral degree,Physics,6000000,JPY,Researcher,Perfectly,Python,Yes,Less than 10% of projects,7
Belgium,Male,40,Employed full-time,Other,Master's degree,Computer Science,59000,EUR,Computer Scientist,Poorly,R,No,26-50% of projects,8
Spain,Male,48,Employed full-time,Mix of fields,Master's degree,Computer Science,70000,EUR,Software Developer/Software Engineer,Poorly,Python,No,None,3
Other,Male,24,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,360000,BDT,Researcher,Fine,Python,Sort of (Explain more),Less than 10% of projects,7
South Korea,Male,36,Employed full-time,Manufacturing,Doctoral degree,Mathematics or statistics,75000000,KRW,Scientist/Researcher,Fine,C/C++/C#,Sort of (Explain more),Less than 10% of projects,2
Germany,Female,55,Employed full-time,Academic,Master's degree,Other,35000,EUR,Other,Poorly,R,Sort of (Explain more),100% of projects,10 - Highly Satisfied
United States,Male,58,Employed full-time,Financial,Master's degree,A humanities discipline,150000,USD,Data Analyst,Fine,Other,No,Less than 10% of projects,9
Germany,Female,26,Employed part-time,Academic,Master's degree,Mathematics or statistics,15600,EUR,Statistician,Perfectly,R,Yes,Less than 10% of projects,7
United Kingdom,Male,39,Employed full-time,Academic,Doctoral degree,A health science,39000,GBP,Scientist/Researcher,Fine,R,Sort of (Explain more),76-99% of projects,4
Taiwan,Male,25,Employed full-time,Manufacturing,Bachelor's degree,Electrical Engineering,20000,USD,Engineer,Fine,Python,Yes,51-75% of projects,6
United States,Male,39,Employed full-time,Telecommunications,Bachelor's degree,Other,64000,USD,Data Analyst,Fine,SQL,No,51-75% of projects,10 - Highly Satisfied
Portugal,Male,31,Employed full-time,Academic,Master's degree,Computer Science,11760,EUR,Computer Scientist,Fine,Python,Yes,51-75% of projects,8
Iran,Male,27,Employed full-time,Internet-based,Master's degree,Computer Science,400000000,IRR,Software Developer/Software Engineer,Fine,SQL,Yes,10-25% of projects,8
United States,Male,40,Employed full-time,Manufacturing,Some college/university study without earning a bachelor's degree,Other,60000,USD,Data Analyst,Poorly,Python,Yes,26-50% of projects,5
Malaysia,Male,26,Employed full-time,Financial,Master's degree,Computer Science,102000,MYR,Other,Perfectly,Python,Sort of (Explain more),10-25% of projects,8
Other,Male,26,Employed full-time,Other,Some college/university study without earning a bachelor's degree,Electrical Engineering,18000,USD,Data Analyst,Fine,Python,Yes,51-75% of projects,9
Brazil,Male,38,Employed full-time,Academic,Doctoral degree,Computer Science,150000,BRL,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),51-75% of projects,7
Nigeria,Female,24,Employed full-time,Other,Bachelor's degree,Electrical Engineering,200000,NGN,Other,Fine,Python,Yes,100% of projects,7
Czech Republic,Female,61,Employed full-time,Mix of fields,Master's degree,Physics,900000,CZK,Predictive Modeler,Fine,Python,Yes,100% of projects,5
Spain,Male,29,Employed full-time,Mix of fields,Master's degree,Engineering (non-computer focused),60000,EUR,Operations Research Practitioner,Poorly,R,Yes,10-25% of projects,8
Netherlands,Male,34,Employed full-time,Other,Doctoral degree,Physics,45000,EUR,Scientist/Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,8
Sweden,Male,29,Employed full-time,Technology,Master's degree,Computer Science,524000,SEK,Software Developer/Software Engineer,Perfectly,Python,No,Less than 10% of projects,7
Germany,Male,30,Employed full-time,Mix of fields,Doctoral degree,Physics,85000,EUR,Machine Learning Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,7
United Kingdom,Male,25,Employed full-time,Non-profit,Bachelor's degree,Mathematics or statistics,32650,GBP,Data Analyst,Fine,R,Yes,76-99% of projects,6
Taiwan,Male,33,Employed full-time,Other,Master's degree,Computer Science,65000,USD,Machine Learning Engineer,Fine,Python,No,51-75% of projects,9
Netherlands,Male,30,Employed full-time,Other,Bachelor's degree,Mathematics or statistics,36000,EUR,Predictive Modeler,Fine,R,Yes,100% of projects,7
India,Male,22,Employed full-time,Technology,Bachelor's degree,Computer Science,360000,INR,Software Developer/Software Engineer,Poorly,Python,No,100% of projects,1 - Highly Dissatisfied
Switzerland,Male,28,Employed part-time,Other,Master's degree,Mathematics or statistics,60000,CHF,Statistician,Perfectly,R,Yes,100% of projects,6
Taiwan,Male,32,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Other,60000,USD,Data Analyst,Perfectly,C/C++/C#,Yes,26-50% of projects,5
India,Male,25,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,148800,INR,Other,Perfectly,Python,No,Less than 10% of projects,5
Russia,Male,21,Employed full-time,Financial,Bachelor's degree,Computer Science,1400000,RUB,Machine Learning Engineer,Fine,Python,Yes,26-50% of projects,9
United States,Male,32,Employed full-time,CRM/Marketing,Master's degree,A social science,65000,USD,Data Analyst,Poorly,R,Yes,100% of projects,3
Brazil,Male,37,Employed full-time,Academic,Doctoral degree,Computer Science,140000,BRL,Scientist/Researcher,Perfectly,Python,Yes,51-75% of projects,8
Other,Male,45,Employed full-time,Financial,Master's degree,Mathematics or statistics,240000,TTD,Software Developer/Software Engineer,Fine,R,Yes,51-75% of projects,8
Other,Female,24,Employed full-time,Academic,Master's degree,Mathematics or statistics,36000,EUR,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),100% of projects,9
Germany,Male,30,Employed part-time,Insurance,Master's degree,Computer Science,10000,EUR,Software Developer/Software Engineer,Fine,Haskell,Yes,10-25% of projects,10 - Highly Satisfied
Other,Male,25,Employed full-time,Other,Bachelor's degree,Computer Science,47000,ISK,Researcher,Fine,Python,No,10-25% of projects,6
India,Female,35,Employed full-time,Academic,Master's degree,Computer Science,500000,INR,Scientist/Researcher,Fine,Python,No,10-25% of projects,6
Russia,Male,20,"Independent contractor, freelancer, or self-employed",Military/Security,Bachelor's degree,"Information technology, networking, or system administration",3113,USD,Business Analyst,Fine,Python,Yes,Less than 10% of projects,6
India,Male,23,Employed full-time,Internet-based,Master's degree,Electrical Engineering,480000,INR,Machine Learning Engineer,Poorly,Python,Yes,26-50% of projects,8
Sweden,Male,31,Employed full-time,Financial,Master's degree,Computer Science,426000,SEK,Software Developer/Software Engineer,Fine,Python,No,26-50% of projects,7
United States,Male,35,Employed full-time,Mix of fields,Master's degree,Computer Science,147000,USD,Other,Poorly,R,Sort of (Explain more),51-75% of projects,3
India,Male,35,Employed full-time,CRM/Marketing,Bachelor's degree,Electrical Engineering,2000000,INR,DBA/Database Engineer,Fine,Scala,Sort of (Explain more),100% of projects,1 - Highly Dissatisfied
United States,Male,28,Employed full-time,Academic,Master's degree,Fine arts or performing arts,41000,USD,Researcher,Poorly,Python,Yes,26-50% of projects,9
Russia,Male,23,Employed full-time,Financial,Bachelor's degree,Computer Science,1020000,RUB,Software Developer/Software Engineer,Poorly,Python,Yes,76-99% of projects,7
United States,Male,41,Employed full-time,Military/Security,Doctoral degree,Engineering (non-computer focused),150000,USD,Scientist/Researcher,Poorly,R,No,100% of projects,6
India,Male,23,Employed full-time,Financial,Bachelor's degree,Engineering (non-computer focused),400000,INR,Data Analyst,Fine,Python,Sort of (Explain more),26-50% of projects,7
Germany,Female,27,Employed full-time,Internet-based,Master's degree,Mathematics or statistics,40000,EUR,DBA/Database Engineer,Fine,R,No,10-25% of projects,7
Germany,Male,29,Employed full-time,Pharmaceutical,Master's degree,Computer Science,70000,EUR,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,7
Russia,Male,31,Employed full-time,Financial,Master's degree,Computer Science,1680000,RUB,Data Analyst,Fine,Python,Sort of (Explain more),51-75% of projects,7
France,Male,29,Employed full-time,Academic,Master's degree,Engineering (non-computer focused),20000,EUR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,7
United States,Male,45,Employed full-time,Military/Security,Bachelor's degree,"Information technology, networking, or system administration",85000,USD,Other,Fine,Java,Yes,51-75% of projects,6
Kenya,Male,28,Employed full-time,Mix of fields,Bachelor's degree,"Information technology, networking, or system administration",75000,KES,Data Analyst,Fine,R,No,76-99% of projects,6
Spain,Male,46,Employed full-time,Hospitality/Entertainment/Sports,Doctoral degree,Electrical Engineering,50000,EUR,Scientist/Researcher,Fine,R,Yes,76-99% of projects,8
Australia,Male,38,Employed full-time,Mix of fields,Doctoral degree,Computer Science,165000,AUD,Software Developer/Software Engineer,Fine,SQL,Yes,26-50% of projects,7
United Kingdom,Male,38,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,80000,GBP,Business Analyst,Fine,Python,Yes,26-50% of projects,7
United States,Female,31,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Mathematics or statistics,114000,USD,Statistician,Fine,Stata,Yes,76-99% of projects,10 - Highly Satisfied
India,Male,50,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,Engineering (non-computer focused),200000,USD,Predictive Modeler,Poorly,R,Sort of (Explain more),10-25% of projects,8
People 's Republic of China,Male,27,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Computer Science,160000,CNY,Machine Learning Engineer,Fine,Python,No,10-25% of projects,7
Germany,Male,66,"Independent contractor, freelancer, or self-employed",Technology,Master's degree,Engineering (non-computer focused),80000,EUR,Engineer,Fine,C/C++/C#,No,10-25% of projects,8
United States,Male,66,Employed full-time,Financial,Bachelor's degree,Electrical Engineering,145000,USD,DBA/Database Engineer,Perfectly,Python,No,100% of projects,2
Finland,Male,31,Employed part-time,Academic,Master's degree,Electrical Engineering,24000,EUR,Researcher,Fine,Matlab,Sort of (Explain more),26-50% of projects,7
United States,Male,29,"Independent contractor, freelancer, or self-employed",Other,Bachelor's degree,Computer Science,100000,USD,Software Developer/Software Engineer,Fine,Python,No,10-25% of projects,6
Ireland,Male,42,"Independent contractor, freelancer, or self-employed",Government,Some college/university study without earning a bachelor's degree,Computer Science,132000,EUR,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),100% of projects,8
Finland,Female,26,Employed full-time,Academic,Master's degree,Electrical Engineering,40000,EUR,Scientist/Researcher,Fine,Matlab,Yes,76-99% of projects,9
Japan,Male,35,Employed full-time,Manufacturing,Master's degree,Computer Science,6000000,JPY,Engineer,Poorly,Python,No,26-50% of projects,4
South Africa,Male,31,Employed full-time,Financial,Bachelor's degree,Electrical Engineering,1000000,ZAR,Predictive Modeler,Fine,Python,Yes,76-99% of projects,7
United States,Male,49,Employed full-time,Other,Doctoral degree,Physics,160000,USD,Scientist/Researcher,Fine,Python,No,76-99% of projects,2
Germany,Male,35,Employed full-time,Technology,Doctoral degree,Mathematics or statistics,76000,EUR,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,8
India,Male,26,Employed full-time,Technology,Master's degree,Computer Science,2500000,INR,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,5
India,Male,28,Employed full-time,Technology,Bachelor's degree,Computer Science,1600000,INR,Software Developer/Software Engineer,Perfectly,R,Sort of (Explain more),26-50% of projects,8
Spain,Female,29,"Independent contractor, freelancer, or self-employed",Academic,Master's degree,Computer Science,12000,EUR,Scientist/Researcher,Fine,R,Yes,100% of projects,9
Australia,Male,35,Employed full-time,Financial,Master's degree,Computer Science,131500,AUD,Data Analyst,Fine,SQL,Yes,76-99% of projects,6
Other,Male,47,Employed full-time,Financial,Master's degree,Mathematics or statistics,110000,EUR,Predictive Modeler,Fine,Python,Yes,Less than 10% of projects,10 - Highly Satisfied
United States,Male,32,Employed full-time,Pharmaceutical,Doctoral degree,Biology,81500,USD,Scientist/Researcher,Fine,Python,Yes,76-99% of projects,7
Russia,Male,27,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",25000,USD,Other,Perfectly,Python,No,26-50% of projects,8
United Kingdom,Male,40,Employed full-time,Academic,Master's degree,Fine arts or performing arts,15000,GBP,Researcher,Perfectly,Python,Yes,51-75% of projects,8
United Kingdom,Male,38,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,58600,GBP,Data Analyst,Fine,R,Sort of (Explain more),100% of projects,7
Other,Male,26,Employed full-time,Mix of fields,Bachelor's degree,Computer Science,6600,BHD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),10-25% of projects,8
Russia,Male,31,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,3458000,RUB,Predictive Modeler,Poorly,Python,Yes,Less than 10% of projects,7
Netherlands,Male,33,Employed full-time,Retail,Some college/university study without earning a bachelor's degree,Computer Science,42000,EUR,DBA/Database Engineer,Fine,Python,No,None,3
United States,Male,22,Employed full-time,Other,Bachelor's degree,Other,78000,USD,DBA/Database Engineer,Fine,Python,Yes,None,7
Denmark,Female,28,Employed part-time,Technology,Master's degree,Computer Science,100000,DKK,Other,Fine,Python,Yes,100% of projects,10 - Highly Satisfied
Russia,Male,32,"Independent contractor, freelancer, or self-employed",Financial,Master's degree,A social science,4500000,RUB,Business Analyst,Fine,SQL,Yes,76-99% of projects,8
Japan,Male,28,Employed full-time,Manufacturing,Doctoral degree,Electrical Engineering,5000000,JPY,Researcher,Fine,Python,Yes,10-25% of projects,7
Spain,Male,57,Employed full-time,Academic,Doctoral degree,Computer Science,80000,EUR,Computer Scientist,Fine,Python,Yes,100% of projects,10 - Highly Satisfied
Australia,Male,59,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,85000,AUD,Data Analyst,Poorly,Java,Sort of (Explain more),51-75% of projects,1 - Highly Dissatisfied
Sweden,Male,34,Employed full-time,Academic,Doctoral degree,A social science,420000,SEK,Scientist/Researcher,Perfectly,R,Yes,100% of projects,6
United States,Male,30,Employed full-time,Internet-based,Bachelor's degree,Mathematics or statistics,195000,USD,Engineer,Fine,SQL,Yes,26-50% of projects,10 - Highly Satisfied
Russia,Male,33,Employed full-time,Technology,Master's degree,Physics,2000000,RUB,Scientist/Researcher,Fine,R,Yes,10-25% of projects,2
United States,Male,31,Employed full-time,Technology,Master's degree,Electrical Engineering,100000,USD,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,8
People 's Republic of China,Male,30,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",700000,CNY,Machine Learning Engineer,Perfectly,C/C++/C#,Yes,Less than 10% of projects,7
Brazil,Male,41,Employed full-time,Financial,Bachelor's degree,Computer Science,150000,BRL,Other,Perfectly,R,Sort of (Explain more),10-25% of projects,9
Other,Male,29,Employed full-time,Academic,Master's degree,Computer Science,13000,EUR,Researcher,Fine,Python,Yes,26-50% of projects,6
United States,Male,42,Employed full-time,Military/Security,Master's degree,Engineering (non-computer focused),175000,USD,Machine Learning Engineer,Fine,Python,Yes,Less than 10% of projects,8
Brazil,Male,28,Employed full-time,Internet-based,Bachelor's degree,Computer Science,140000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,7
Hungary,Female,26,Employed full-time,Academic,Doctoral degree,Physics,2500000,HUF,Scientist/Researcher,Fine,Python,No,100% of projects,6
Brazil,Male,29,Employed full-time,Academic,Bachelor's degree,Electrical Engineering,45000,BRL,Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,6
Spain,Male,40,Employed full-time,Mix of fields,Bachelor's degree,"Information technology, networking, or system administration",38000,EUR,Software Developer/Software Engineer,Perfectly,Scala,No,100% of projects,I prefer not to share
Russia,Male,33,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,Physics,53000,USD,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),26-50% of projects,7
Ukraine,Male,22,Employed part-time,Technology,Bachelor's degree,"Information technology, networking, or system administration",6000,USD,Machine Learning Engineer,Perfectly,Python,Yes,100% of projects,10 - Highly Satisfied
India,Male,22,"Independent contractor, freelancer, or self-employed",Internet-based,Bachelor's degree,Electrical Engineering,160000,CAD,Software Developer/Software Engineer,Fine,Python,No,51-75% of projects,8
India,Male,42,Employed full-time,Government,Master's degree,Computer Science,90000,RSD,Other,Fine,Python,Yes,10-25% of projects,9
United States,Male,54,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,108000,USD,Other,Poorly,Scala,Yes,51-75% of projects,8
Portugal,Male,23,Employed full-time,Academic,Master's degree,Electrical Engineering,12000,EUR,Researcher,Fine,Python,Yes,76-99% of projects,9
Brazil,Male,52,Employed full-time,Government,Bachelor's degree,Computer Science,320000,BRL,Programmer,Fine,Python,No,Less than 10% of projects,10 - Highly Satisfied
India,Male,29,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,700000,INR,Data Analyst,Perfectly,R,Sort of (Explain more),100% of projects,2
United States,Male,33,Employed full-time,Pharmaceutical,Doctoral degree,Other,60000,USD,Other,Poorly,R,Sort of (Explain more),Less than 10% of projects,1 - Highly Dissatisfied
United States,Male,31,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Engineering (non-computer focused),136500,USD,Business Analyst,Poorly,SQL,Sort of (Explain more),76-99% of projects,2
Ukraine,Male,26,Employed full-time,Non-profit,Master's degree,A social science,25000,USD,Researcher,Fine,R,Yes,76-99% of projects,4
Russia,Female,26,Employed full-time,Technology,Doctoral degree,Other,110000,RUB,Scientist/Researcher,Perfectly,Python,Yes,76-99% of projects,9
Other,Male,33,Employed full-time,Academic,Doctoral degree,Computer Science,36000,EUR,Scientist/Researcher,Fine,R,Sort of (Explain more),76-99% of projects,7
Russia,Male,26,Employed full-time,Internet-based,Some college/university study without earning a bachelor's degree,Computer Science,1620000,RUB,Machine Learning Engineer,Perfectly,Python,Yes,10-25% of projects,10 - Highly Satisfied
United States,Male,32,Employed full-time,Other,Doctoral degree,Electrical Engineering,135000,USD,Machine Learning Engineer,Poorly,Python,Sort of (Explain more),51-75% of projects,7
United States,Male,38,Employed full-time,Technology,Master's degree,Mathematics or statistics,200000,USD,Other,Perfectly,Python,No,76-99% of projects,10 - Highly Satisfied
India,Male,27,Employed full-time,Government,Master's degree,Mathematics or statistics,240000,INR,Statistician,Perfectly,R,Sort of (Explain more),51-75% of projects,7
Brazil,Male,31,Employed full-time,Telecommunications,Bachelor's degree,Computer Science,120000,BRL,Software Developer/Software Engineer,Perfectly,Python,No,10-25% of projects,3
United States,Male,24,Employed full-time,Government,Bachelor's degree,Engineering (non-computer focused),62000,USD,Engineer,Fine,R,Yes,76-99% of projects,7
United States,Male,31,Employed full-time,Manufacturing,I prefer not to answer,Mathematics or statistics,60000,USD,Data Analyst,Fine,R,Sort of (Explain more),76-99% of projects,8
Brazil,Male,30,Employed full-time,Non-profit,Bachelor's degree,I never declared a major,100000,BRL,Software Developer/Software Engineer,Fine,Python,Yes,100% of projects,10 - Highly Satisfied
Canada,Male,35,Employed full-time,Government,Master's degree,Physics,100000,CAD,Scientist/Researcher,Fine,Python,Sort of (Explain more),100% of projects,9
Brazil,Male,26,Employed full-time,Government,Bachelor's degree,Other,6700,BRL,Other,Perfectly,Python,No,100% of projects,3
Mexico,Male,26,Employed full-time,Technology,Some college/university study without earning a bachelor's degree,Computer Science,18000,MXN,Computer Scientist,Fine,Scala,Yes,51-75% of projects,10 - Highly Satisfied
Spain,Male,24,Employed full-time,Financial,Bachelor's degree,Computer Science,20000,EUR,Data Analyst,Perfectly,Python,Yes,76-99% of projects,6
Poland,Male,42,Employed full-time,Pharmaceutical,Master's degree,Physics,80000,PLN,Data Analyst,Fine,R,Yes,26-50% of projects,6
India,Male,26,Employed full-time,Internet-based,Master's degree,Engineering (non-computer focused),450000,INR,Business Analyst,Poorly,Python,Sort of (Explain more),10-25% of projects,6
Poland,Male,25,Employed full-time,Financial,Master's degree,Mathematics or statistics,3650,PLN,Data Analyst,Fine,R,No,51-75% of projects,7
Brazil,Female,34,Employed full-time,Technology,Master's degree,"Information technology, networking, or system administration",4500,BRL,Programmer,Fine,Python,Yes,Less than 10% of projects,7
United States,Male,42,Employed full-time,Academic,Doctoral degree,Engineering (non-computer focused),140000,USD,Statistician,Fine,R,Yes,76-99% of projects,7
Australia,Male,39,Employed full-time,Financial,Bachelor's degree,Computer Science,200000,AUD,Other,Fine,Python,No,51-75% of projects,4
United States,Male,56,Employed full-time,Technology,Master's degree,Mathematics or statistics,300000,USD,Statistician,Fine,Python,Yes,100% of projects,8
Netherlands,A different identity,49,Employed full-time,Other,Master's degree,Computer Science,80000,EUR,Business Analyst,Poorly,Python,Sort of (Explain more),100% of projects,10 - Highly Satisfied
United States,Male,33,Employed full-time,Mix of fields,Bachelor's degree,Psychology,121000,USD,Data Analyst,Poorly,SQL,No,76-99% of projects,7
India,Male,35,Employed full-time,Technology,Master's degree,Computer Science,900000,INR,Business Analyst,Fine,R,Sort of (Explain more),10-25% of projects,7
United States,Female,27,Employed full-time,Manufacturing,Master's degree,Mathematics or statistics,71000,USD,Data Analyst,Fine,R,Yes,100% of projects,10 - Highly Satisfied
United States,Male,31,Employed full-time,Government,Doctoral degree,Electrical Engineering,106000,USD,Scientist/Researcher,Fine,Python,Sort of (Explain more),26-50% of projects,8
United States,Female,31,Employed full-time,Non-profit,Master's degree,A health science,74000,USD,Data Analyst,Perfectly,R,No,100% of projects,7
India,Male,22,Employed full-time,CRM/Marketing,Bachelor's degree,Engineering (non-computer focused),475000,INR,Machine Learning Engineer,Fine,Python,No,Less than 10% of projects,10 - Highly Satisfied
Brazil,Male,34,Employed full-time,Telecommunications,Master's degree,Computer Science,100000,BRL,Software Developer/Software Engineer,Fine,Python,Sort of (Explain more),Less than 10% of projects,7
United States,Female,26,Employed full-time,Academic,Master's degree,Mathematics or statistics,55000,USD,Statistician,Perfectly,R,No,76-99% of projects,7
Spain,Male,38,Employed full-time,Technology,Bachelor's degree,Computer Science,33000,EUR,Software Developer/Software Engineer,Fine,Python,No,76-99% of projects,8
Poland,Male,50,Employed full-time,Academic,Doctoral degree,Computer Science,90000,PLN,Scientist/Researcher,Poorly,R,Yes,10-25% of projects,8
United States,Male,24,Employed full-time,Internet-based,Master's degree,Computer Science,130000,USD,Machine Learning Engineer,Fine,Python,Yes,10-25% of projects,6
Brazil,Male,35,Employed full-time,Academic,Doctoral degree,Computer Science,48000,USD,Scientist/Researcher,Perfectly,R,Yes,100% of projects,5
Brazil,Male,40,Employed full-time,Insurance,Bachelor's degree,"Information technology, networking, or system administration",150,BRL,Other,Fine,Scala,No,76-99% of projects,8
United States,Male,30,Employed full-time,Mix of fields,Bachelor's degree,Mathematics or statistics,220000,USD,Other,Perfectly,SQL,Sort of (Explain more),100% of projects,10 - Highly Satisfied
United Kingdom,Female,27,Employed full-time,Pharmaceutical,Master's degree,Physics,29000,GBP,Statistician,Poorly,Python,Sort of (Explain more),10-25% of projects,7
People 's Republic of China,Female,24,Employed full-time,Academic,Bachelor's degree,Mathematics or statistics,90000,CNY,Other,Fine,Python,Sort of (Explain more),76-99% of projects,6
Belgium,Male,24,Employed full-time,Academic,Master's degree,Computer Science,25000,EUR,Researcher,Poorly,Python,Yes,100% of projects,4
United States,Male,35,Employed full-time,Government,Master's degree,Psychology,75000,USD,Statistician,Poorly,R,Yes,51-75% of projects,8
Ireland,Male,34,Employed full-time,Internet-based,Master's degree,A humanities discipline,51500,EUR,Business Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,8
United States,Male,23,Employed full-time,Other,Bachelor's degree,Computer Science,130000,USD,Other,Fine,Python,Sort of (Explain more),26-50% of projects,10 - Highly Satisfied
Singapore,Male,29,Employed full-time,Internet-based,Bachelor's degree,Management information systems,75000,SGD,Data Analyst,Fine,Python,No,51-75% of projects,10 - Highly Satisfied
United States,Male,55,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,A social science,150000,USD,Software Developer/Software Engineer,Poorly,Python,Yes,Less than 10% of projects,7
Canada,Male,31,Employed full-time,Technology,Doctoral degree,Computer Science,75000,CAD,Machine Learning Engineer,Fine,Python,Yes,None,9
Germany,Male,41,Employed full-time,Technology,Doctoral degree,Physics,85000,EUR,Machine Learning Engineer,Fine,Python,Yes,100% of projects,8
United States,Male,33,Employed full-time,Retail,Master's degree,A humanities discipline,108000,USD,Data Miner,Poorly,R,Sort of (Explain more),76-99% of projects,5
United States,Female,26,Employed full-time,Other,Bachelor's degree,Computer Science,65000,USD,Software Developer/Software Engineer,Poorly,R,No,76-99% of projects,7
United States,Female,30,Employed full-time,Non-profit,Master's degree,A social science,78000,USD,Researcher,Fine,Python,Sort of (Explain more),10-25% of projects,7
Russia,Male,23,Employed full-time,Financial,Bachelor's degree,Computer Science,2289008,RUB,Software Developer/Software Engineer,Poorly,Python,Sort of (Explain more),None,7
United States,Male,35,Employed full-time,Other,Master's degree,Mathematics or statistics,72000,USD,Statistician,Fine,R,Yes,10-25% of projects,7
United Kingdom,Male,26,Employed full-time,Financial,Master's degree,Physics,45000,GBP,Other,Perfectly,Python,No,76-99% of projects,7
United States,Male,29,Employed full-time,Manufacturing,Bachelor's degree,A humanities discipline,55000,USD,Data Analyst,Fine,Python,Sort of (Explain more),76-99% of projects,5
United States,Male,69,Employed full-time,Academic,Doctoral degree,Physics,200000,USD,Scientist/Researcher,Fine,Python,Yes,100% of projects,7
Switzerland,Male,29,Employed full-time,Academic,Master's degree,Physics,52000,CHF,Scientist/Researcher,Perfectly,Python,Sort of (Explain more),100% of projects,8
Other,Male,45,Employed full-time,Manufacturing,Some college/university study without earning a bachelor's degree,Computer Science,65000,USD,Engineer,Fine,R,Sort of (Explain more),76-99% of projects,7
Germany,Male,50,Employed full-time,Technology,Master's degree,Computer Science,80000,EUR,Other,Fine,Python,No,76-99% of projects,4
United States,Male,31,Employed full-time,Government,Doctoral degree,A social science,90000,USD,Scientist/Researcher,Fine,R,No,51-75% of projects,8
Australia,Male,32,Employed full-time,Technology,Doctoral degree,Biology,100000,AUD,Software Developer/Software Engineer,Fine,Python,Yes,10-25% of projects,8
Netherlands,Male,48,Employed part-time,Academic,Doctoral degree,Electrical Engineering,55000,EUR,Scientist/Researcher,Fine,R,Yes,Less than 10% of projects,8
United States,Male,55,Employed full-time,Academic,Doctoral degree,Mathematics or statistics,200000,USD,Statistician,Fine,R,Yes,100% of projects,6
Hong Kong,Male,38,"Independent contractor, freelancer, or self-employed",Technology,Bachelor's degree,Management information systems,900000,HKD,Other,Perfectly,Python,Sort of (Explain more),26-50% of projects,6
United States,Female,35,Employed full-time,Insurance,Bachelor's degree,Mathematics or statistics,58000,USD,Data Analyst,Fine,R,Sort of (Explain more),Less than 10% of projects,3
Australia,Male,38,Employed full-time,Government,Master's degree,Electrical Engineering,120000,AUD,Data Analyst,Fine,Python,No,26-50% of projects,10 - Highly Satisfied
Indonesia,Male,27,Employed part-time,Telecommunications,Bachelor's degree,Electrical Engineering,20000000,IDR,Researcher,Fine,Python,No,76-99% of projects,9
United States,Male,51,Employed full-time,Non-profit,Bachelor's degree,Engineering (non-computer focused),95000,USD,Engineer,Fine,Python,Sort of (Explain more),76-99% of projects,8
Canada,Male,50,Employed full-time,Technology,Bachelor's degree,Computer Science,75000,CAD,Programmer,Fine,Python,No,26-50% of projects,8
People 's Republic of China,Male,30,Employed full-time,Hospitality/Entertainment/Sports,Master's degree,Computer Science,20,CNY,Engineer,Fine,Python,Yes,Less than 10% of projects,2
